id_country,name,region,incomeLevel,year,female,male,gdp_pc_2010
GBR,United Kingdom,ECS,HIC,2015,2069.402,2841.637,44964.3911437292
GBR,United Kingdom,ECS,HIC,2016,2536.398,3366.28,45482.4668618551
GBR,United Kingdom,ECS,HIC,2017,2586.243,3432.832,46374.5811167058
GBR,United Kingdom,ECS,HIC,2018,2514.748,3316.615,46742.1481190493
GBR,United Kingdom,ECS,HIC,2019,4607.459,6175.928,47234.2466070513
GBR,United Kingdom,ECS,HIC,2020,2936.485,3842.209,42215.8837450989
GBR,United Kingdom,ECS,HIC,2021,2767.08,3665.538,45873.869597011
GBR,United Kingdom,ECS,HIC,2022,3770.594,4760.046,47551.2296562184
GEO,Georgia,ECS,UMC,2021,1735.942,2579.406,5175.19865185825
GHA,Ghana,SSF,LMC,2013,1078.29,1349.729,1717.52646443251
GHA,Ghana,SSF,LMC,2015,1163.61,990.747,1721.69964380717
GHA,Ghana,SSF,LMC,2017,960.96,1104.998,1840.29925048368
GHA,Ghana,SSF,LMC,2022,1604.488,1213.496,2066.17306715611
GIN,Guinea,SSF,LMC,2019,,864.72,926.42221954853
GMB,"Gambia, The",SSF,LIC,2012,479.952,946.469,639.139881889048
GMB,"Gambia, The",SSF,LIC,2018,524.4,575.647,658.127833258563
GNB,Guinea-Bissau,SSF,LIC,2022,,886.05,745.690895064907
GRC,Greece,ECS,HIC,2011,1851.381,2060.052,19448.2557511168
GRC,Greece,ECS,HIC,2012,1877.463,2127.963,17924.6620516477
GRC,Greece,ECS,HIC,2013,1927.648,2255.794,17644.8766792834
GRC,Greece,ECS,HIC,2014,1784.633,2144.182,17903.5252559978
GRC,Greece,ECS,HIC,2015,1904.197,2146.626,17980.7298238137
GRC,Greece,ECS,HIC,2016,2311.336,2490.762,18049.9289175756
GRC,Greece,ECS,HIC,2017,2309.904,2521.227,18352.0884111283
GRC,Greece,ECS,HIC,2018,2335.729,2437.258,18769.0390099773
GRC,Greece,ECS,HIC,2019,2278.287,2574.209,19216.6760037219
GRC,Greece,ECS,HIC,2020,2484.142,2386.653,17486.9513800415
GRC,Greece,ECS,HIC,2021,6292.594,6274.187,19232.968382872
GRC,Greece,ECS,HIC,2022,6081.321,5969.038,20595.4953496212
GTM,Guatemala,LCN,UMC,2011,1024.662,2444.851,3621.37399118594
GTM,Guatemala,LCN,UMC,2012,1516.933,2506.821,3655.57305040072
GTM,Guatemala,LCN,UMC,2013,2029.77,2288.076,3717.30452588449
GTM,Guatemala,LCN,UMC,2014,2007.537,2564.653,3809.61576365876
GTM,Guatemala,LCN,UMC,2015,1816.419,2120.214,3893.50521848131
GTM,Guatemala,LCN,UMC,2016,1389.685,1997.985,3924.77882449793
GTM,Guatemala,LCN,UMC,2017,1448.029,2083.96,3972.74046152097
GTM,Guatemala,LCN,UMC,2018,1788.832,2377.329,4040.21201503384
GTM,Guatemala,LCN,UMC,2019,2142.194,2098.597,4139.12191663003
GTM,Guatemala,LCN,UMC,2021,2517.663,2501.168,4268.29515043474
GTM,Guatemala,LCN,UMC,2022,2374.805,2738.504,4385.46451827029
GUY,Guyana,LCN,HIC,2018,1002.254,1334.977,6080.90612132746
GUY,Guyana,LCN,HIC,2019,1064.773,1313.516,6278.63054079553
HKG,"Hong Kong SAR, China",EAS,HIC,2011,5312.559,5312.559,39656.3542113178
HKG,"Hong Kong SAR, China",EAS,HIC,2012,5657.528,6092.723,39887.8422338754
HKG,"Hong Kong SAR, China",EAS,HIC,2013,5741.565,6561.788,40959.983629493
HKG,"Hong Kong SAR, China",EAS,HIC,2014,5543.564,6335.502,41796.8691228601
HKG,"Hong Kong SAR, China",EAS,HIC,2015,5531.99,6322.275,42432.1619740441
HKG,"Hong Kong SAR, China",EAS,HIC,2016,5886.384,6335.608,43087.546608434
HND,Honduras,LCN,LMC,2015,1337.067,1541.879,2271.20265980349
HND,Honduras,LCN,LMC,2016,1298.742,1893.148,2315.72983058198
HND,Honduras,LCN,LMC,2017,1148.749,2032.775,2383.37398439714
HND,Honduras,LCN,LMC,2018,1401.497,1299.759,2430.13503657762
